,TRACT,TOTAL,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
52,081400,2778,785,1689,0,118,75
53,081800,2802,247,1975,22,0,387
54,090300,2578,267,1652,153,0,492
55,092300,2974,62,2437,43,8,389
56,160400,2371,1222,337,10,130,173
57,160200,3360,1447,80,0,144,337
58,170400,4958,4373,2,0,267,118
59,000502,4704,3671,54,0,764,175
60,040600,2512,2376,45,0,63,28
61,051200,2317,1227,80,0,235,288
62,060800,4059,3756,0,6,212,0
63,070200,4958,1755,72,17,2841,156
64,082000,2702,193,2107,0,7,364
65,070600,2319,1769,54,0,189,254
66,081300,5129,734,2394,0,194,1666
67,081900,2512,187,2104,0,0,218
68,091100,4643,2607,319,0,1135,434
69,100400,4617,745,3425,0,347,52
70,000302,3071,2202,215,0,626,28
71,000701,4482,3404,170,0,742,72
72,010500,3423,2488,389,21,436,27
73,030400,2327,2208,17,0,80,0
74,050500,1706,1130,32,0,100,38
75,070700,2550,1333,891,34,144,129
76,081200,3408,825,1774,8,61,628
77,081700,3709,187,2638,17,158,441
78,091900,3887,286,2793,13,0,631
79,100200,2616,169,2224,9,0,178
80,101002,5327,224,4710,0,1,200
81,110502,3588,2506,538,0,228,179
82,110601,2652,2477,46,0,22,20
83,130402,4586,4236,150,0,58,98
84,140400,7625,1104,5598,92,93,471
85,000201,3359,2646,113,12,386,163
86,000100,3579,2702,103,0,551,162
87,000202,3816,2211,294,0,736,559
88,000301,2607,2193,60,0,347,7
89,000802,8077,5133,512,8,1295,882
90,010600,2798,2291,183,0,159,165
91,040100,2210,2165,0,0,14,0
92,000503,1900,1530,27,13,215,52
93,000504,4619,3827,81,59,489,55
94,000703,2759,1871,196,0,684,0
95,000704,4493,3048,236,0,759,378
96,000803,4467,3333,221,0,638,183
97,010103,4436,3326,159,11,753,122
98,010104,5110,3771,121,0,1041,62
99,010204,2809,2015,107,0,516,133
100,040300,4042,3270,391,0,180,69
101,050400,2267,1628,108,10,93,64
102,051000,4009,3280,69,0,139,223
103,160101,8475,3322,496,0,0,571
104,160501,5662,2333,580,0,48,778
105,160502,4188,2495,110,0,258,82
106,160601,3863,1890,358,0,229,506
107,160602,4639,2687,472,0,349,462
108,170501,3591,2581,124,17,120,638
109,140105,3683,2124,972,0,54,406
110,170502,3291,3035,29,0,86,0
111,170601,5624,3994,194,0,265,747
112,170701,1926,1592,96,0,52,186
113,170702,6291,3015,499,19,1150,1075
114,180101,4546,3870,160,0,79,296
115,180301,3217,3023,4,8,7,0
116,980101,458,194,161,0,0,42
117,980300,441,196,162,0,8,15
118,980700,0,0,0,0,0,0
119,091400,2093,403,1170,5,72,410
120,010404,6270,4988,225,0,802,135
121,010405,5428,3728,616,0,726,238
122,010203,5021,3856,211,11,714,183
123,010408,1379,1101,27,0,182,56
124,010701,2505,2066,43,8,264,65
125,010403,2997,1695,408,0,753,82
126,010702,2198,2015,10,5,106,27
127,010801,2982,2615,21,0,276,42
128,010802,2980,2768,43,0,141,0
129,020101,4277,4050,51,13,114,49
130,020301,2063,1498,43,0,506,0
131,020302,1160,1023,31,0,78,0
132,060400,4734,4643,35,0,34,5
133,060700,2153,500,801,28,133,680
134,081500,2027,319,1381,0,49,133
135,090600,1821,143,1197,0,0,390
136,091500,4859,536,2095,18,258,1820
137,170200,4653,3727,30,0,414,50
138,170800,4662,3864,170,107,150,180
139,120600,2525,1938,98,5,194,177
140,130100,5449,4279,298,0,543,281
141,140202,6060,2956,2429,0,41,146
142,160300,2314,1688,263,0,44,83
143,170100,7429,5786,166,91,194,809
144,170300,8368,6959,584,0,317,261
145,180200,3996,3683,31,5,12,49
146,110501,3567,2682,493,0,81,38
147,180500,3783,3557,54,0,37,49
148,092200,2870,751,1346,46,196,493
149,091300,1887,217,694,20,152,743
150,091700,3225,277,1425,0,28,1414
151,100800,6254,3456,2092,0,477,105
152,000401,5363,4260,140,0,800,110
153,981000,74,0,74,0,0,0
154,981100,284,41,172,12,13,44
155,981201,0,0,0,0,0,0
156,981202,67,51,2,3,0,0
157,981300,386,256,11,0,38,81
158,981501,0,0,0,0,0,0
159,981502,52,0,0,0,0,52
160,981600,0,0,0,0,0,0
161,981700,0,0,0,0,0,0
162,981800,70,35,0,0,0,35
163,990101,0,0,0,0,0,0
164,010300,4728,3568,231,7,600,176
165,050700,4459,2880,142,35,2,442
166,080300,1732,195,1246,0,0,233
167,080500,3067,495,1759,6,42,646
168,081100,4345,2569,785,15,504,344
169,091600,3589,562,1507,0,963,494
170,100500,5229,687,3504,39,454,318
171,100900,4221,1181,2243,0,569,0
172,110401,3597,1439,1291,0,192,584
173,091800,3322,337,1948,62,13,836
174,092000,5353,494,3666,9,331,735
175,100100,5657,616,3504,82,15,1386
176,100601,5004,1870,1680,10,983,114
177,100700,4359,4164,111,0,0,58
178,101102,4624,266,4118,0,0,81
179,130200,4838,4074,248,0,227,86
180,060600,2009,1856,23,0,88,0
181,070900,3226,1981,515,2,247,332
182,092400,5653,650,3768,76,98,974
183,030100,2047,1911,107,0,20,9
184,000602,3995,2771,352,17,574,111
185,082100,5120,428,3670,18,0,901
186,060200,2055,2009,2,0,35,0
187,090400,3561,269,2332,0,86,722
188,120500,2351,1466,215,0,72,461
189,101001,5790,156,5434,0,14,142
190,020200,3961,3509,93,44,265,22
191,030300,4902,4199,244,6,203,103
192,061000,3543,2136,312,0,316,710
193,061200,3063,2789,91,0,151,0
194,090100,4948,253,3705,15,99,760
195,090200,2422,45,1434,0,95,817
196,090700,4010,2399,385,0,796,375
197,091200,2957,1394,637,0,150,617
198,100300,3505,229,3016,0,0,154
199,101101,3305,189,3064,0,0,39
200,130300,4683,3765,118,0,314,339
201,140102,4493,1848,1685,0,59,731
202,140300,6390,1582,3953,2,118,441
203,180400,1888,1483,27,0,0,105
