,TRACT,TOTAL,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
0,020303,3222,2146,484,19,412,93
1,040401,2570,2242,76,0,99,66
2,040801,3544,1833,723,0,834,84
3,050101,5397,3121,145,15,557,348
4,050901,4205,2213,101,23,155,438
5,051101,7047,4877,471,2,123,308
6,060101,3149,3138,0,11,0,0
7,060301,2996,2910,14,0,39,33
8,060501,3434,3127,49,0,205,45
9,061101,2237,710,670,5,496,324
10,070101,5174,3137,210,56,1593,134
11,070402,1852,157,302,5,1228,72
12,071101,3982,1854,685,0,708,640
13,080401,2384,317,1274,35,134,453
14,071201,2896,1253,589,0,435,564
15,080601,2897,1392,901,0,368,181
16,080801,3237,1023,1103,30,289,610
17,081001,4747,2218,859,0,886,597
18,090901,3946,1356,1046,15,937,437
19,091001,2674,1697,189,0,666,108
20,092101,6992,2364,1081,0,2655,586
21,100603,1852,1402,258,5,104,32
22,110103,5867,2459,1144,236,538,1283
23,110201,1948,830,815,0,9,178
24,110301,2518,1294,412,49,96,390
25,110403,4789,2213,1654,12,288,430
26,120103,1433,1239,82,0,25,4
27,120105,2369,1874,136,0,261,28
28,120201,3640,2424,653,18,120,367
29,110607,5371,4753,169,0,116,78
30,120104,1845,1253,142,0,180,188
31,120301,4792,2522,1186,0,258,560
32,130404,3059,2185,313,0,98,357
33,130406,5026,1938,2175,0,393,348
34,080100,3147,711,1674,49,196,417
35,120400,5467,4194,426,42,323,307
36,120700,2212,1710,169,42,154,98
37,140201,2186,1410,503,0,78,153
38,000402,3711,3247,69,0,362,4
39,000601,3239,2300,31,0,741,112
40,030200,1567,1444,14,0,85,11
41,030500,2473,2373,29,0,37,13
42,040200,1807,1362,262,0,63,8
43,050200,5164,3130,223,0,54,822
44,050300,2439,1072,450,0,318,274
45,050600,1732,1051,63,6,0,64
46,070300,4239,3427,86,0,643,33
47,070500,6196,3675,380,0,1473,648
48,070800,3544,2295,701,14,336,189
49,140106,2009,717,995,20,39,205
50,140107,2524,879,1028,0,43,372
51,080900,3554,2433,405,0,555,78
