,WARD_PRECI,TOTAL,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
0,0113,2525.706053583249,1881.8520015368133,116.11450464089972,0.4154495895967218,62.367273737461744,123.04555799882846
1,0102,2041.5446542793866,1360.9192240397342,47.33502202561288,1.259744789019294,116.65974681788187,52.74097023918321
2,0105,3189.9805348669306,2058.2738372811154,101.84678858484457,24.648793870814877,2.5993750801386577,314.5415215337719
3,0203,1351.811697568332,1179.0142305369354,84.65153970703253,0.0,36.61642190595275,11.22361436669961
4,0205,1441.8616468427847,1176.6138953142738,133.63664627302055,0.0,62.76833067931298,24.175009381550677
5,0204,1683.063519978428,1336.075532620609,180.46860051563624,0.0,78.08476357388878,25.194178187550698
6,0206,1295.3752894450354,1085.1258607234959,89.54825987360408,0.0,53.80690944075553,25.819673034291668
7,0303,2708.792528016364,2545.906402420978,47.806222566689414,0.10202044629766968,86.77340440734449,6.283903246540484
8,0304,1830.0522183528108,1632.36425829591,62.71349458411636,1.33120516777739,100.5789922351087,17.176268952829336
9,0307,4242.518378155484,2337.4434507155697,414.0680739321096,0.047489383014673585,920.7325977188557,538.6721709302203
10,0402,4459.387551520278,3243.048322161956,691.3643193416555,20.17243415372872,251.8636874371293,237.57865286949558
11,0401,1981.795085309681,1454.2932182566387,143.71495544961465,4.028426578009569,177.49581361742642,165.3282826357023
12,0403,1484.456752169635,946.1991687710771,286.8189052631887,10.307665815851516,102.17182333599285,117.00841215246841
13,0405,2708.6289604079057,1924.0402513908323,317.7148443684256,14.397033222069936,371.7086487822989,33.52649964064881
14,0406,2832.5801335733213,1779.9635349940675,360.70166631286924,6.7428495742020385,575.0068584667242,56.185270976319494
15,0404,2147.97130626097,1419.9206056878038,379.9255669723946,7.47463400910218,200.33645118140964,129.38961190095654
16,0408,7210.271854943775,5467.629071092161,450.9370302135166,0.023359686834734508,936.4843993260272,209.97677412949415
17,0409,4436.316753014857,2678.6690438757655,708.6511025975273,12.381075941492144,532.0866073160959,359.37951559910533
18,0504,2222.614198277982,1984.1037696570975,49.32272646613841,22.69100587009491,138.7293752443381,13.806660220195951
19,0503,2561.156172177334,2381.8650257953336,39.600858380478414,6.013023163185395,96.26074038322884,22.650745583199647
20,0501,6028.519632019613,3800.250887049966,194.0019129545794,6.824217574179913,1818.183681282318,100.10352668170036
21,0902,2829.733297344713,1750.2561883831113,451.5978780826657,3.289745448952777,257.0342513725123,266.8871784734444
22,0901,2921.3259123631765,1722.8707558495128,188.54619287254295,0.0013644742723475443,687.8344659529915,311.44390164584985
23,0502,3451.9351591101095,2689.774565183811,114.00074958366345,4.544992309900662,476.1097798489824,135.50634087050963
24,0603,1204.5210063395582,1114.3017393793211,0.8348589856579577,1.6905784384469236,62.382108657795776,0.09467311256061334
25,0605,1746.3181933167652,1613.3508136800015,21.22240118557324,0.19627988722466538,85.67766963925125,22.007085695985978
26,0606,1480.5300952896089,1438.0993135710291,6.931781758589297,0.0,19.239527719059247,16.231647997767762
27,0602,2147.96443624557,1234.1581434867608,404.430751996361,15.705579540379427,122.5628150633188,343.3367435375897
28,0608,1445.9572144480182,1422.9116441001622,0.9359170834607818,1.733397651980178,16.205597231850497,0.014744117659433098
29,0702,1604.6316550943902,1569.0535788794643,10.503177918652401,0.0,14.440783577169348,6.663254416266074
30,0706,1478.4146423732352,966.4454941948244,116.3598342020869,0.0016667175551479693,128.21966642230575,241.1260380813032
31,0805,1470.1008139009991,157.31149108680296,803.8248173394189,7.733171739552797,49.77540342520173,389.6497497432774
32,0803,2285.696069134881,406.83764737713204,1286.1702388410065,21.00068811107297,113.71169282153991,354.70730324365667
33,1201,2559.8980765757915,190.17487610349707,1820.0578632958604,11.284690610843427,57.202257793327774,325.61356341748933
34,0905,3321.505907121013,1165.491277925559,1555.5298952679534,3.8882577384574546,278.9501595493034,202.74071663256703
35,1002,1919.597025891428,1061.4812252085917,374.6087077118841,6.3369195134633625,253.85587110346805,155.9819483400905
36,1001,877.7258229410415,364.79360943536585,245.29816776897235,5.9367055471318695,94.22492533806242,125.91788419394076
37,0904,3137.85743598095,978.9454620570109,1316.3354319247514,15.236685714651808,252.97390811045247,448.5263863493879
38,0903,4513.065234171289,1757.085354206055,1724.1161335078414,9.569575039481403,220.58064915395065,659.0221367860046
39,0804,1114.2205908879444,142.3395255148536,649.0440827389857,12.095016678480084,46.34138724355095,195.5878036236364
40,0806,1955.6053701865883,338.41440513246,1128.0834013996525,19.529436607568353,78.13956172166473,316.5379730382201
41,0709,1367.2041397100572,787.4728823080101,160.02739119622703,0.16183897949243758,239.848643315394,152.5899232764303
42,0710,2061.212957605532,472.6059115038391,659.5470318914641,14.767355259122919,145.92952131940876,687.6227573228896
43,0807,809.9269487643014,118.2523346574117,502.15498138966655,5.178551857309226,20.555888665712345,132.1482579243075
44,1006,2509.591515657937,846.9859070330876,1074.523055302643,6.932404778523965,110.03264643367363,391.0967117090993
45,1003,2185.7516875532674,1367.432093998645,288.8139550397516,0.0,359.40879067000526,109.53882312287162
46,1101,1873.3910771596632,417.9437243840955,1026.3146254010057,0.0,75.84724553981106,288.35831587940265
47,1007,2239.7578255456115,947.8053961797184,710.9496364976537,2.5738188192359215,55.41532445639071,422.1467243488198
48,1209,1745.1033507116629,137.01232914561226,1318.4674246044788,3.3154228545812527,1.3131588973119412,259.85549847570803
49,1103,1428.8889291430817,219.6048035472067,899.0894031188834,0.0,39.227665429450155,184.37870284088172
50,1105,1813.4899155065364,630.8504136739524,634.1337855189587,0.0,84.09703889013574,387.40966788632807
