,TRACT,TOTAL,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
114,180101,4869,4533,105,0,93,73
115,180301,3105,2946,8,0,3,21
116,980101,329,140,125,0,0,27
117,980300,360,151,104,5,20,63
118,980700,9,9,0,0,0,0
119,010404,5167,3549,383,13,968,139
120,010405,5947,4244,492,0,787,159
121,010203,4972,3712,208,9,719,254
122,010408,1484,1065,59,0,336,9
123,010701,2825,2391,46,0,257,59
124,060400,5378,5115,133,0,62,68
125,060700,2557,670,810,7,249,635
126,081500,2185,333,1261,0,66,468
127,090600,2337,266,1457,20,9,474
128,091500,4801,583,1916,12,251,1746
129,170200,4837,3657,497,0,48,534
130,170800,5200,4112,168,0,127,493
131,120600,2580,2222,124,6,90,61
132,130100,6517,5559,76,0,665,128
133,140202,6401,2850,2029,0,231,877
134,160300,2536,1753,196,0,101,124
135,170100,7979,5961,404,0,472,957
136,170300,8985,7452,336,0,990,69
137,180200,3966,3661,52,0,34,0
138,110501,3601,2718,439,0,59,273
139,180500,4089,3881,115,0,25,41
140,092200,3264,889,1532,0,573,185
141,091300,2596,602,1060,0,24,807
142,091700,3304,367,1957,5,201,734
143,981000,0,0,0,0,0,0
144,981100,596,152,322,13,13,61
145,981201,0,0,0,0,0,0
146,981202,183,123,25,0,22,0
147,981300,486,285,28,0,44,82
148,981501,0,0,0,0,0,0
149,981502,0,0,0,0,0,0
150,010403,2875,1759,160,25,666,114
151,010702,2446,2265,52,0,100,7
152,010801,3091,2828,5,0,204,25
153,010802,2849,2531,33,0,232,14
154,020101,4416,4197,39,0,138,0
155,020301,2371,1661,36,0,581,9
156,020302,995,949,0,0,4,0
157,100800,6716,3157,2266,0,996,0
158,000401,5265,3781,137,0,1151,37
159,981600,0,0,0,0,0,0
160,981700,0,0,0,0,0,0
161,981800,33,33,0,0,0,0
162,990101,0,0,0,0,0,0
163,091400,2721,386,1297,18,27,926
164,010300,5233,3972,322,17,592,221
165,050700,5311,2721,2,28,14,303
166,080300,2071,272,1184,18,48,442
167,080500,3286,697,1357,0,67,944
168,081100,4267,2417,702,21,577,410
169,091600,3382,534,1576,0,795,399
170,100500,7227,1378,4621,17,782,88
171,100900,3975,1029,2494,0,408,13
172,020200,3894,3265,107,0,397,59
173,030300,5511,4406,426,21,335,273
174,061000,3190,1880,375,0,279,514
175,061200,3551,3243,95,0,178,0
176,090100,4812,374,3493,0,42,767
177,090200,2383,199,1119,0,110,784
178,110401,3830,2036,1278,93,123,130
179,091800,3811,422,2219,0,3,1002
180,092000,5567,665,3489,16,475,763
181,100100,6146,1039,4607,7,110,211
182,100601,5185,1911,1729,20,993,273
183,100700,4370,4050,180,0,83,9
184,101102,5146,375,4532,0,93,25
185,130200,5008,4491,95,0,271,90
186,060600,2679,2314,19,0,273,0
187,070900,3153,1586,900,0,329,203
188,092400,5732,490,4887,157,0,150
189,030100,2151,2066,0,0,72,5
190,000602,3527,2145,459,12,538,235
191,082100,5243,441,3378,0,95,1127
192,060200,2412,2290,1,0,91,2
193,090400,3965,480,2484,0,105,769
194,120500,2479,1289,423,0,118,569
195,101001,5817,241,5402,0,0,133
196,090700,4613,2429,483,31,815,777
197,091200,3241,1254,853,74,43,703
198,100300,3642,332,3121,0,108,32
199,101101,3808,253,3383,0,47,12
200,130300,4680,4132,108,0,139,210
201,140102,4700,2035,1954,0,240,240
202,140300,6830,1464,3886,11,13,1207
203,180400,1933,1820,18,0,27,7
