,TRACT,TOTAL,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
0,020303,3574,2357,297,0,533,286
1,040401,2523,2024,45,0,297,149
2,040801,4098,2149,883,0,708,274
3,050101,5487,3111,235,213,320,466
4,050901,4740,2609,74,0,190,43
5,051101,6463,4617,331,0,470,161
6,060101,3798,3621,39,0,74,47
7,060301,3432,3364,2,0,18,30
8,060501,4056,3782,42,0,118,98
9,061101,2168,705,480,5,402,513
10,070101,5668,3905,159,7,1301,80
11,070402,1700,202,165,0,1259,62
12,071101,4067,2352,443,0,639,517
13,080401,2995,450,1745,0,35,607
14,071201,3398,1391,809,0,621,351
15,080601,4540,2110,1366,3,676,271
16,080801,4028,1528,1337,0,476,468
17,081001,4576,2003,872,0,1096,422
18,090901,3832,1312,525,58,1201,716
19,091001,3217,1834,477,0,818,44
20,092101,7099,2042,1717,0,2601,434
21,100603,2038,1499,324,4,180,1
22,110103,6557,3393,1651,0,528,726
23,110201,2380,955,930,8,0,417
24,110301,2663,1222,931,64,49,376
25,110403,4724,2405,1425,8,118,503
26,120103,1625,1352,66,0,84,1
27,120105,2620,2109,124,0,188,69
28,120201,3679,2611,350,37,33,461
29,110607,5126,4397,378,0,132,79
30,120104,2273,1746,163,0,109,121
31,120301,5201,2578,1111,0,335,1034
32,130404,3337,2299,230,0,333,352
33,130406,5399,2201,2589,0,393,167
34,140106,1877,582,985,0,8,198
35,140107,2912,1042,1426,71,7,335
36,080100,2814,636,1511,51,53,534
37,120400,6613,5042,707,0,273,445
38,120700,2155,1377,156,25,310,237
39,140201,2368,1444,397,142,146,163
40,000402,3176,2268,85,0,693,9
41,000601,3294,2327,83,11,689,137
42,030200,1738,1671,8,0,28,3
43,030500,2610,2406,9,0,100,34
44,040200,1841,912,415,0,114,246
45,050200,6083,3515,230,0,153,222
46,050300,2142,1321,228,0,153,114
47,050600,2292,1433,109,0,44,123
48,070300,4350,3432,73,0,645,47
49,070500,5921,3903,192,61,961,371
50,070800,3722,2658,658,16,364,9
51,080900,3829,2738,319,28,652,47
52,081400,2861,996,1349,0,188,262
53,081800,3590,235,2705,0,0,552
54,090300,3631,293,2381,165,0,679
55,092300,3452,348,2881,55,14,67
56,160400,2855,1196,249,31,174,327
57,160200,4275,1714,190,8,94,203
58,170400,5425,3799,403,0,216,657
59,000502,6350,5190,160,9,833,59
60,040600,2872,2552,150,0,100,12
61,051200,2695,1807,55,0,123,232
62,060800,5118,4463,4,92,173,151
63,070200,5724,1946,90,0,3567,16
64,082000,2725,386,2152,0,25,129
65,070600,2324,2060,14,0,213,28
66,081300,5428,1020,2258,11,134,1615
67,000503,2096,1720,34,18,157,22
68,000504,4149,3314,202,66,375,39
69,000703,2146,1273,267,0,555,34
70,000704,4261,2738,278,1,761,317
71,000803,6234,4420,394,0,1060,106
72,010103,3621,2214,195,5,845,145
73,010104,4784,3397,152,0,805,132
74,010204,3360,2098,74,0,991,105
75,081900,3515,412,2515,0,18,360
76,091100,5477,2996,245,0,1506,498
77,100400,5209,537,3585,155,376,350
78,000302,2880,2185,149,0,408,91
79,000701,3777,2427,223,47,880,27
80,010500,3333,2264,372,0,477,159
81,030400,2608,2421,24,0,86,33
82,050500,2305,1781,46,0,39,16
83,070700,2966,1778,882,0,164,97
84,081200,3425,858,1238,0,110,1066
85,081700,3337,220,2460,11,126,250
86,091900,4016,352,2953,9,43,614
87,100200,3005,146,2469,0,57,173
88,101002,4926,546,4056,14,7,197
89,110502,4443,3358,656,21,16,224
90,110601,2946,2630,137,0,100,42
91,130402,4908,4399,96,0,413,0
92,140400,8368,1220,6253,24,18,638
93,000201,3284,2729,143,0,200,106
94,000100,3671,2348,178,0,531,556
95,000202,3587,2342,365,0,550,295
96,000301,2712,2146,50,0,362,154
97,000802,7120,4299,468,12,1002,834
98,010600,3033,2326,351,14,342,0
99,040100,2399,2323,0,0,71,0
100,040300,4325,3376,487,0,288,84
101,050400,2437,1881,50,13,30,148
102,051000,4548,3112,78,170,84,365
103,160101,9440,4409,434,39,15,1046
104,160501,4819,2507,224,0,123,319
105,160502,4202,2725,179,0,76,414
106,160601,4662,2442,578,25,286,449
107,160602,4792,2641,403,0,219,450
108,170501,3672,2665,125,64,247,279
109,140105,3997,1840,1415,0,91,580
110,170502,2744,2154,48,0,294,30
111,170601,5864,4849,181,26,116,477
112,170701,2120,1746,62,0,20,249
113,170702,6269,4043,972,0,1008,157
