,WARD_PRECI,TOTAL,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
0,0113,2149.367473567361,1470.7193442703665,36.862502844822814,80.34135235410099,39.69807998673225,172.49760946615802
1,0102,5236.798690988329,3583.3151992866497,89.81317016206899,195.7466529173298,96.7218755591512,420.2795783225023
2,0105,3433.8497112498344,2349.6350706705116,58.891881591356004,128.35410090423744,63.422026329152615,275.5838048826274
3,0203,2373.2832114331336,1623.9352141556535,40.70274637022525,88.71111388382425,43.83372686024257,190.46797980938737
4,0205,1673.1479613100234,1144.8628970089694,28.695149732229954,62.54071095486016,30.90246894240149,134.27858528543504
5,0204,2311.007584997433,1581.322692284963,39.63469472950743,86.38330902584951,42.683517401008,185.4700458496181
6,0206,1796.7791789305188,1229.4584003587893,30.81547404498251,67.16193061085932,33.18589512536578,144.2006157233156
7,0303,5646.324179884457,3863.535806464475,96.83669437796564,211.05433390069436,104.28567086857839,453.1460698456084
8,0304,4706.269807541278,3220.2971946060816,80.71438983909846,175.91597785444534,86.92318905749063,377.70195245219145
9,0307,4050.6525982741755,2771.686650358231,69.47029522106106,151.40961778949202,74.8141640842196,325.0853558421447
10,0402,7590.86743707805,5194.102784561762,130.18638084698503,283.73954799983915,140.20071783521465,609.2055001173018
11,0401,3535.7271887267875,2419.34542904964,60.639120650987124,132.16218603420268,65.30366839337074,283.7599876616705
12,0403,2769.7246887965302,1895.2029972591909,47.50187460996687,103.52972671403036,51.155864964579706,222.28441323894756
13,0405,3667.247622932805,2509.339182622447,62.894748150562634,137.07829725122622,67.73280570060591,294.3151676276328
14,0406,4091.2130728749275,2799.44043157141,70.16592341342225,152.92573051643305,75.56330213753164,328.34053904998865
15,0404,2932.191530675247,2006.372041218419,50.288245249047776,109.6025857992067,54.15657180666684,235.32319892182616
16,0408,5515.261470538074,3773.8552542468083,94.58891704089044,206.15533201219714,101.8649875824974,442.6276246144232
17,0409,4562.553783829845,3121.9585257868243,78.2496031527546,170.54400687138823,84.26880339527418,366.1680147532747
18,0504,2530.98297751292,1731.8423540062024,43.40735977264903,94.60578411987609,46.74638744746819,203.12418355149867
19,0503,8949.320166438687,6123.633324089093,153.48438280171888,334.5172445678488,165.2908737864665,718.2282015721462
20,0501,7139.286720389361,4885.10560111075,122.44159282989669,266.8598818087492,131.8601768937349,572.963863883491
21,0902,3795.2481228940865,2596.9243971957776,65.09000738472707,141.86283660773847,70.09693102970607,304.58785506955616
22,0901,2205.1183157372006,1508.8672380330183,37.818651853012675,82.42526685913019,40.727778918629035,176.97189649166185
23,0502,6963.596275348114,4764.888216553064,119.42843216296241,260.29273676543085,128.61523463703642,558.8638171728369
24,0603,1422.1692865456048,973.1290280848553,24.390766128090846,53.159362074044154,26.266978907174757,114.13627739427127
25,0605,2680.534555638454,1834.1740407095137,45.972228526780874,100.19588268657371,49.50855379807171,215.12645400352588
26,0606,2244.6630825532775,1535.9260142712842,38.496860254871514,83.90341337600202,41.458157197553945,180.1455640131808
27,0602,3485.052843199357,2384.671162716886,59.77003556938211,130.268026240961,64.36773061318073,279.69311516441627
28,0608,2817.594762569966,1927.9584215298444,48.32286532112078,105.31906544346838,52.040008807360834,226.1262287462703
29,0702,1820.2483397049978,1245.5173335888198,31.217979440850883,68.03918596082885,33.61936247476249,146.08413456295608
30,0706,1941.0702895822178,1328.1905763368209,33.29012369995888,72.55539780760269,35.850902446109565,155.78070705749985
31,0805,3451.9498743708446,2362.0202306600854,59.202306552534274,129.0306681273183,63.75633013349845,277.03643450865394
32,0803,4435.392232484794,3034.947367522576,76.0687322193962,165.79082663201734,81.92017315934974,355.96265718050773
33,1201,4191.063141238645,2867.763521445617,71.87839160435672,156.65803298385438,77.4074986508457,336.35401199474614
34,0905,5329.228198508159,3646.5607198235252,91.39837279763334,199.20158173843166,98.42901685898975,427.69751373251506
35,1002,2542.738279206882,1739.8859993165825,43.60896784919455,95.04518633798813,46.963503837594125,204.06760596097448
36,1001,1203.488601169241,823.495278548522,20.640305824802287,44.98528192585114,22.228021657479385,96.58604648785686
37,0904,4970.298766074355,3400.9608091520213,85.24259097488999,185.78513417604228,91.79971335757385,398.8916116132673
38,0903,6386.321269650604,4369.883859092499,109.52793734229272,238.71473523320202,117.95316329169984,512.5345785889338
39,0804,2333.863686424032,1596.9621354774818,40.02668591492403,87.237648788937,43.105661754533564,187.30436357624708
40,0806,3564.6202269279593,2439.115687379026,61.134647691376614,133.2421808658208,65.83731289840559,286.07880009426236
41,0709,1639.6432812555565,1121.9370913076718,28.120531208868385,61.28833725009777,30.283648994165954,131.58966527226872
42,0710,4391.143449478604,3004.6698361427916,75.3098480781291,164.13684837540956,81.10291331490825,352.4114685707323
43,0807,1693.0496415485422,1158.4807573656692,29.036471424974998,63.284617208278846,31.270046149973076,135.87579577071637
44,1006,3176.863131918595,2173.7902520955736,54.48446004609728,118.74818215175048,58.67557235733553,254.9593322669937
45,1003,2606.3463813401177,1783.4102767657093,44.69987197549014,97.42279789529904,48.13832366591246,209.1724778340244
46,1101,2468.4176998798675,1689.0316363294082,42.33434049925894,92.26715237017976,45.59082822997118,198.1030036183271
47,1007,3629.335011807812,2483.3972200408775,62.24453186477778,135.66115919246442,67.03257277745298,291.27248885440883
48,1209,2225.283773482361,1522.6655899465936,38.16449743439406,83.17903286983321,41.10022800627053,178.59027645581835
49,1103,2730.4830977361676,1868.3516710982744,46.82886579230893,102.06291262426306,50.431086237871156,219.13507710503538
